สินค้า,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
#,รหัสสินค้า,ชื่อสินค้า,หมวดหมู่,หมวดหมู่ย่อย,หน่วยสินค้า,Barcode
45,TTSPL-04-XXL,เสื้อ Over Soft Signature สีช็อกโกแลต-Chocolate(XXL),T-shri Signature (XXL),,ชิ้น,TTSPL-04-XXL
46,TTSPL-04-XL,เสื้อ Over Soft Signature สีช็อกโกแลต-Chocolate(XL),T-shri Signature (XL),,ชิ้น,TTSPL-04-XL
47,TTSPL-04-L,เสื้อ Over Soft Signature สีช็อกโกแลต-Chocolate(L),T-shri Signature (L),,ชิ้น,TTSPL-04-L
48,TTSPL-04-M,เสื้อ Over Soft Signature สีช็อกโกแลต-Chocolate(M),T-shri Signature (M),,ชิ้น,TTSPL-04-M
49,TTSPL-03-XXL,เสื้อ Over Soft Signature สีชาเขียว-Green Tea(XXL),T-shri Signature (XXL),,ชิ้น,TTSPL-03-XXL
50,TTSPL-03-XL,เสื้อ Over Soft Signature สีชาเขียว-Green Tea(XL),T-shri Signature (XL),,ชิ้น,TTSPL-03-XL
51,TTSPL-03-L,เสื้อ Over Soft Signature สีชาเขียว-Green Tea(L),T-shri Signature (L),,ชิ้น,TTSPL-03-L
52,TTSPL-03-M,เสื้อ Over Soft Signature สีชาเขียว-Green Tea(M),T-shri Signature (M),,ชิ้น,TTSPL-03-M
53,TTSPL-02-XXL,เสื้อ Over Soft Signature สีขาว-White(XXL),T-shri Signature (XXL),,ชิ้น,TTSPL-02-XXL
54,TTSPL-02-XL,เสื้อ Over Soft Signature สีขาว-White(XL),T-shri Signature (XL),,ชิ้น,TTSPL-02-XL
55,TTSPL-02-L,เสื้อ Over Soft Signature สีขาว-White(L),T-shri Signature (L),,ชิ้น,TTSPL-02-L
56,TTSPL-02-M,เสื้อ Over Soft Signature สีขาว-White(M),T-shri Signature (M),,ชิ้น,TTSPL-02-M
57,TTSPL-01-XXL,เสื้อ Over Soft Signature สีดำ-Black(XXL),T-shri Signature (XXL),,ชิ้น,TTSPL-01-XXL
58,TTSPL-01-XL,เสื้อ Over Soft Signature สีดำ-Black(XL),T-shri Signature (XL),,ชิ้น,TTSPL-01-XL
59,TTSPL-01-L,เสื้อ Over Soft Signature สีดำ-Black(L),T-shri Signature (L),,ชิ้น,TTSPL-01-L
60,TTSPL-01-M,เสื้อ Over Soft Signature สีดำ-Black(M),T-shri Signature (M),,ชิ้น,TTSPL-01-M
61,TTLS194-XL,พี่ซอฟท์ (พื้นเทา) ขายาว(XL),กางเกงขายาว,,ชิ้น,TTLS194-XL
62,TTLS194-L,พี่ซอฟท์ (พื้นเทา) ขายาว(L),กางเกงขายาว,,ชิ้น,TTLS194-L
63,TTLS194-M,พี่ซอฟท์ (พื้นเทา) ขายาว(M),กางเกงขายาว,,ชิ้น,TTLS194-M
64,TTLS193-XL,พี่ซอฟท์ (พื้นครีม) ขายาว(XL),กางเกงขายาว,,ชิ้น,TTLS193-XL
65,TTLS193-L,พี่ซอฟท์ (พื้นครีม) ขายาว(L),กางเกงขายาว,,ชิ้น,TTLS193-L
66,TTLS193-M,พี่ซอฟท์ (พื้นครีม) ขายาว(M),กางเกงขายาว,,ชิ้น,TTLS193-M
67,TTLS192-XL,พี่ซอฟท์ (พื้นชมพู) ขายาว(XL),กางเกงขายาว,,ชิ้น,TTLS192-XL
68,TTLS192-L,พี่ซอฟท์ (พื้นชมพู) ขายาว(L),กางเกงขายาว,,ชิ้น,TTLS192-L
69,TTLS192-M,พี่ซอฟท์ (พื้นชมพู) ขายาว(M),กางเกงขายาว,,ชิ้น,TTLS192-M
70,TTLS191-XL,พี่ซอฟท์ (พื้นเขียว) ขายาว(XL),กางเกงขายาว,,ชิ้น,TTLS191-XL
71,TTLS191-L,พี่ซอฟท์ (พื้นเขียว) ขายาว(L),กางเกงขายาว,,ชิ้น,TTLS191-L
72,TTLS191-M,พี่ซอฟท์ (พื้นเขียว) ขายาว(M),กางเกงขายาว,,ชิ้น,TTLS191-M
73,DM-Baby Soft,Demo-เสื้อรุ่น Baby Soft,สินค้าตัวอย่าง,,ชิ้น,
74,TTG163-3XL,(E4) พี่ซอฟท์ (พื้นเทา)(3XL),Boxer Short Printed Fabric (ผ้ายืดพิมพ์ลาย Size 3XL),,ชิ้น,TTG163-3XL
75,TTG163-XXL,(D4) พี่ซอฟท์ (พื้นเทา)(XXL),Boxer Short Printed Fabric (ผ้ายืดพิมพ์ลาย Size XXL),,ชิ้น,TTG163-XXL
76,TTG163-XL,(C4) พี่ซอฟท์ (พื้นเทา)(XL),Boxer Short Printed Fabric (ผ้ายืดพิมพ์ลาย Size XL),,ชิ้น,TTG163-XL
77,TTG163-L,(B4) พี่ซอฟท์ (พื้นเทา)(L),Boxer Short Printed Fabric (ผ้ายืดพิมพ์ลาย Size L),,ชิ้น,TTG163-L
78,TTG163-M,(A4) พี่ซอฟท์ (พื้นเทา)(M),Boxer Short Printed Fabric (ผ้ายืดพิมพ์ลาย Size M),,ชิ้น,TTG163-M
79,TTG162-3XL,(E4) พี่ซอฟท์ (พื้นชมพู)(3XL),Boxer Short Printed Fabric (ผ้ายืดพิมพ์ลาย Size 3XL),,ชิ้น,TTG162-3XL
